volatility,gas_cost,rebalance_tolerance,max_gas_events,decision_stride,original_gas_cost,gamma,eval_seed,n_eval,run_id,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
0.01,0.0,0,,100,2.0,5e-06,1005,1000,36073252_0,35.18467859376811,10.747918730151696,35.48439087921713,17.61868435624754,51.87198122661611,11.546829663375744,2.438111027718162,-0.12310467995556656,0.6606914628215637,0.997,0.0,3.447871192296813e-165,35.18467859376811,27.056500000000007,8.742289469515365,0.37560318156267003,-0.9961500000000001,27.23224072879207,10.015679841004303,-1.4738041666666661,4.380349641984887,0.06380842878876383,9.855,8.855,88.55,10,44.468478597688865,8.926794967679653,0.0,-0.3570050362410929
0.02,0.0,0,,100,4.0,5e-06,1005,1000,36073407_14,15.012459083015363,16.80669037353072,16.686711884056024,-15.146788376707809,39.847169692564925,-26.228232405055454,-43.41231339377887,-0.6243407291798474,0.8872141313758677,0.817,2.1114043297188102e-129,2.2816502129056306e-103,15.012459083015363,27.068100000000005,8.731899999999992,0.3024770900415437,-0.43375,45.24009886045483,19.5683799390113,-1.461640277777777,4.364929149986571,0.04257799304685638,9.928,8.928,89.28,10,37.41364034701727,21.91658720851996,0.0,-0.4845940554819506
0.03,0.0,0,,100,6.0,5e-06,1005,1000,36074271_10,-3.095690368378032,20.453920255162714,0.0,-41.650878806189056,24.114008658722447,-56.931850388719305,-77.99773849329829,-0.9877426242921892,1.6743217997781645,0.466,1.9800527696180626e-06,0.016736771097500203,-3.095690368378032,1.0,0.0,0.0,-7.423799999999998,97.20257029467433,163.30558237108735,-14.5,0.0,0.0,1.0,0.0,0.0,10,8.793042794446723,11.509070060211666,0.0,-0.37966310261308683
