run_id,run_dir,gas_cost,train_seed,volatility,reward_kind,inventory_phi,tau,decision_stride,eval_seed,n_eval,agent,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,PPO,41.943833881852264,17.673052466640982,41.93800670169935,14.3632928915219,71.25447258274627,5.978117931638176,-5.797958507649594,0.018311084804012934,0.03644494341389137,0.989,0.0,6.043515231770347e-165,41.943833881852264,5.172,2.482195662605522,1.1590582383987442,0.5457000000000001,26.567821286395628,9.74438974538683,-0.10866547619047617,3.3000331524379836,1.5285947423972366,7.272,6.272,62.720000000000006,10,67.18219563694697,12.501299475380234,12.544,-0.19306227971446974
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,PPO_narrow,49.39308311171882,20.65546061660114,48.556312575256584,14.858831879072358,84.03603766998428,8.85894258182753,-3.0129920940070294,0.12623888242724804,-0.07962294125178282,0.994,0.0,4.641001901494176e-165,49.39308311171882,2.0,0.0,0.0,0.733,26.649209491031435,9.820970980509005,-0.01962261904761905,2.3413459321099244,1.013118813368453,8.543,7.543,75.43,10,78.61141262836331,13.660554274505227,15.086,-0.47177524213926697
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,PPO,32.10062919464462,14.515905543213767,31.618371992810467,9.027435012670201,56.725773218737984,4.5498734855768,-1.0735826880693367,0.26203563709216726,0.04486634299900771,0.995,0.0,4.1907678880314294e-165,14.32178834945734,10.6015,4.630708290694991,3.313183929394805,-5.20905,27.325967483096072,10.336535473624613,-2.668295833333333,4.2598517685010755,2.2026333045086566,6.08,5.08,50.8,10,52.81957845875595,10.501373916929612,10.16,-0.057575347181706774
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,PPO_narrow,46.762859115470576,19.791377066562283,44.93392323454634,15.89316149977588,81.87687078816367,9.46102317081221,0.04512417900525634,0.20886310142120437,-0.16247633716715448,0.996,0.0,4.0425041743249477e-165,24.2482359737816,2.0,0.0,0.0,-2.5334000000000008,27.02532407223006,10.206064101307614,-0.4763253968253969,2.1538104107963765,1.0111912308779107,7.563,6.563,65.63,10,73.12794758210353,12.853008149338415,13.126,-0.38608031729453535
36073252_26,GAS_COST=2/SEED=10/36073252_26,2.0,10,0.02,inventory,0,15,100,1005,1000,PPO,8.988583321319547,18.466523227393232,10.087564018733588,-21.46959302404426,37.089635771664696,-32.44486261934664,-50.618943176699226,-0.3622961660902281,0.43305077551953186,0.698,4.2999394196959447e-48,6.592243931900077e-47,8.988583321319547,15.8165,3.9972486180065383,2.8356758894485807,6.784350000000001,57.94649487949883,32.19278502362758,0.687864880952381,2.9680496162236194,2.0910902510260416,4.413,3.413,34.129999999999995,10,33.296800762144805,16.968088265047918,6.826,-0.5141291757773367
36073252_26,GAS_COST=2/SEED=10/36073252_26,2.0,10,0.02,inventory,0,15,100,1005,1000,PPO_narrow,17.435333651618276,20.111284022123698,17.49482473364344,-16.16796005876743,51.69029457929876,-26.02919774289774,-40.82566042298576,-0.026239742821425018,0.48760583810306724,0.824,9.788158010467183e-124,1.0096091545875597e-102,17.435333651618276,2.0,0.0,0.0,6.693,59.66498253688447,35.84378204096214,0.16290317460317463,1.0564349417219727,0.6834806546371964,5.066,4.066,40.66,10,45.62342616074637,19.81061611693203,8.132,-0.24547639219605594
36073252_27,GAS_COST=2/SEED=10/36073252_27,2.0,10,0.02,inventory,50,15,100,1005,1000,PPO,1.3786080985825178,4.474836612030051,0.0,-4.600466343217687,9.815567731370464,-9.688572217065321,-16.643673914510735,-0.01599873357919116,3.8444290168821764,0.406,1.8131471119035317e-21,4.987807818917809e-28,0.08242029793704497,10.93402555910543,0.6332862872622366,7.97652959437585,-15.582774227902025,9.01753994870303,48.802572165889885,-2.707667731629393,0.2968505225634923,4.065459429784134,0.695,0.069,0.6900000000000001,10,3.0114949869031,1.469370216475507,0.138,-0.025516671845075303
36073252_27,GAS_COST=2/SEED=10/36073252_27,2.0,10,0.02,inventory,50,15,100,1005,1000,PPO_narrow,3.155404939297006,6.393412462861319,1.2976549707448726,-5.121593752410353,14.821699277863898,-9.615091914777368,-16.18153109020824,0.9523684316176845,3.3899293449813195,0.562,2.913844686776787e-49,6.883023329559963e-54,1.355226554177194,2.0,0.0,0.0,-11.472744814278823,8.808468881935973,48.066579505133994,0.8646888567293777,0.08755426917510854,0.4494705167721937,0.798,0.107,1.0699999999999998,10,5.797355450561125,2.3868567809886714,0.214,-0.04109373027544711
36073252_28,GAS_COST=2/SEED=10/36073252_28,2.0,10,0.03,inventory,0,15,100,1005,1000,PPO,-0.6141006990109222,16.491596708326078,2.2599783959079787,-33.1123284941434,21.32184285718979,-45.99908943413741,-64.76639884547379,-1.210898713030245,2.76054145210891,0.575,0.2394940572725656,0.01614667847470246,-0.6141006990109222,14.050660792951541,0.0,7.2537146494285984,0.6708831550241241,71.95112769230622,132.70577511397062,-2.1123348017621146,0.0,5.355638661617386,0.908,0.0,0.0,10,8.06310614618805,8.222054137500953,0.0,-0.4551527076980185
36073252_28,GAS_COST=2/SEED=10/36073252_28,2.0,10,0.03,inventory,0,15,100,1005,1000,PPO_narrow,1.2869115424303899,13.46429247384014,2.881242485058692,-24.97755809003138,19.001438441834072,-34.4784212931771,-49.96600006234462,-0.8711183435808975,2.273523342040887,0.582,0.0025837121989121647,1.2506242325065999e-08,1.2869115424303899,2.0,0.0,0.0,14.587246014379494,44.94414267576845,86.66280232347314,0.2086068563092633,0.25851452524573304,1.0360644031293214,1.014,0.1,1.0,10,8.139817831812044,6.658265819012316,0.2,0.005359529630661612
36073252_29,GAS_COST=2/SEED=10/36073252_29,2.0,10,0.03,inventory,50,15,100,1005,1000,PPO,0.009740918766413188,0.26462046690885555,0.0,0.0,0.0,0.0,0.0,30.240521086646815,932.7035867513542,0.002,0.24491228450607958,0.17971249487899976,0.00949759317090784,14.0,0.0,0.0,-49.5,0.0,0.5,3.0,0.0,0.0,0.002,0.0,0.0,10,0.010791649975115662,0.0010507312087024746,0.0,0.0
