volatility,gas_cost,rebalance_tolerance,max_gas_events,original_gas_cost,gamma,eval_seed,n_eval,run_id,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
0.01,2.0,0,10,2.0,5e-06,1005,1000,36073252_0,38.90324271585096,5.6559543191167005,39.097223153754385,29.321344156938117,47.77521696839975,26.617476040990656,22.983456616574575,-0.15391651446994345,0.030109756090736628,1.0,0.0,3.3258591189345135e-165,38.90324271585096,29.914392000000003,1.5305461281372095,0.04632468387371885,-0.038267,1.1489066933890468,0.10245058911982888,-0.022434030370114294,0.5643965466524801,0.007362940019892772,728.648,727.648,72.76480000000001,1000,75.81905425951837,16.672217419754215,20.0,-0.24359412391319382
0.02,4.0,0,10,4.0,5e-06,1005,1000,36073407_14,-15.259002011796511,19.74622845419991,-11.923097769965011,-48.88323196943024,9.156236437210799,-72.80303833628528,-104.13217257940778,-1.6304046669230876,4.708770586538786,0.203,1.1058109493278852e-103,1.758658454356456e-106,-15.259002011796511,29.396510000000003,3.6679262388676164,0.6509217156463596,-0.291621,2.1022448879157656,0.38753668646851996,-0.20885955834274894,1.4210788566075616,0.29453685645679467,889.79,888.79,88.879,1000,87.74272367965342,62.53376705961601,40.0,-0.46795863183391223
0.03,6.0,0,10,6.0,5e-06,1005,1000,36074271_10,-3.5332405774848956,20.22283671871244,0.0,-42.564194855707065,21.305338060385107,-57.33032480336446,-77.99773849329829,-1.0522042362743265,1.7037533008744603,0.46,4.2678271449391627e-08,0.0024290708815623142,-3.5332405774848956,1.0006959999999998,0.02199844503595652,0.004438421340972474,-8.544493999999998,96.9485334698569,150.83700636342516,-14.384,0.16404877323527906,0.7397368901620812,1.048,0.048,0.0048,1000,8.650402256170642,11.894121354617225,0.288,-0.0015214790383123525
