gas_cost,volatility,reward_kind,inventory_phi,agent,mean_pnl,std_pnl,median_pnl,skew_pnl,kurt_pnl,profitable_frac,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,rebalances_per_ep,rebalance_rate_pct,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,attrib_hodl,attrib_fees,attrib_il,attrib_gas,risk_profile
2,0.025,pnl,0.0,DeployNarrow,2.89,19.43,4.84,-0.73,1.23,0.674,2.0,0.0,0.0,5.466,84.24,130.884,0.0,0.0,0.0,0.0,0.0,1.0,-0.51,13.44,10.05,0.0,pnl
2,0.025,pnl,0.0,CDM,-4.63,18.62,0.0,-1.2,2.44,0.401,1.027,0.552,0.046,-22.88,83.82,125.278,1.9,0.19,-12.12,3.024,2.768,2.9,-0.01,10.86,11.69,3.79,pnl
2,0.025,pnl,0.0,PPO,2.2,20.93,5.64,-0.53,0.4,0.59,8.151,2.311,3.093,49.58,85.648,100.68,0.78,7.81,-0.55,1.178,2.267,1.78,-0.29,17.24,13.19,1.56,pnl
2,0.025,pnl,0.0,PPO_narrow,4.27,22.36,7.39,-0.42,0.33,0.605,2.0,0.0,0.0,50.077,84.427,105.443,0.89,8.85,0.146,0.395,0.805,1.89,-0.56,19.97,13.37,1.77,pnl
2,0.03,pnl,0.0,DeployWide,-2.12,20.71,3.51,-1.21,1.6,0.622,30.0,0.0,0.0,6.296,96.948,150.88,0.0,0.0,0.0,0.0,0.0,1.0,-0.66,10.12,11.58,0.0,pnl
2,0.03,pnl,0.0,ArrivalRebalance,-10.64,26.12,-6.95,-0.82,1.67,0.367,2.0,0.0,0.0,1.055,46.168,21.107,6.0,0.6,0.0,0.0,0.0,7.0,-1.05,34.97,32.55,12.0,pnl
2,0.03,pnl,0.0,DeployNarrow,0.1,21.61,4.59,-0.99,1.41,0.639,2.0,0.0,0.0,6.296,96.948,150.88,0.0,0.0,0.0,0.0,0.0,1.0,-0.61,12.69,11.99,0.0,pnl
2,0.03,pnl,0.0,CDM,-3.34,20.25,0.0,-1.04,1.7,0.462,1.001,0.022,0.004,-8.544,96.949,150.837,0.05,0.0,-14.384,0.164,0.74,1.05,-0.0,8.65,11.9,0.1,pnl
2,0.03,pnl,0.0,PPO,-0.72,13.47,0.0,-1.42,3.89,0.413,15.458,0.181,6.26,19.223,63.101,113.604,0.03,0.34,1.365,0.162,5.192,0.71,-0.16,5.37,5.86,0.07,pnl
2,0.03,pnl,0.0,PPO_narrow,0.44,8.49,0.0,-0.76,6.11,0.319,2.0,0.0,0.0,-3.889,42.869,90.059,0.0,0.01,3.984,0.016,0.342,0.48,0.16,3.77,3.49,0.0,pnl
2,0.005,inventory,20.0,DeployWide,18.85,12.93,17.96,0.16,-0.74,0.938,30.0,0.0,0.0,0.995,18.672,28.608,0.0,0.0,0.0,0.0,0.0,1.0,-0.11,20.64,1.68,0.0,phi=20
2,0.005,inventory,20.0,ArrivalRebalance,42.47,20.58,40.34,0.5,0.21,0.995,2.0,0.0,0.0,0.489,15.056,7.782,3.0,0.3,0.0,0.0,0.0,4.0,-0.17,52.46,3.82,6.0,phi=20
2,0.005,inventory,20.0,DeployNarrow,23.35,19.68,19.64,0.98,1.19,0.932,2.0,0.0,0.0,0.995,18.672,28.608,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,25.46,2.01,0.0,phi=20
2,0.005,inventory,20.0,CDM,28.21,8.05,28.46,-0.16,-0.28,1.0,29.903,1.624,0.053,0.15,11.561,5.87,3.02,0.3,-3.949,6.306,1.264,4.02,-0.12,37.28,2.92,6.04,phi=20
2,0.005,inventory,20.0,PPO,67.62,21.88,66.97,0.31,0.23,1.0,2.195,0.417,0.427,-0.018,13.963,5.092,6.23,62.3,-0.207,1.12,0.511,7.23,-0.09,86.44,6.27,12.46,phi=20
2,0.005,inventory,20.0,PPO_narrow,70.2,22.06,68.13,0.27,0.11,1.0,2.0,0.0,0.0,-0.058,13.945,5.066,7.01,70.06,0.001,0.874,0.345,8.01,-0.12,90.89,6.56,14.01,phi=20
2,0.005,inventory,50.0,DeployWide,18.85,12.93,17.96,0.16,-0.74,0.938,30.0,0.0,0.0,0.995,18.672,28.608,0.0,0.0,0.0,0.0,0.0,1.0,-0.11,20.64,1.68,0.0,phi=50
2,0.005,inventory,50.0,ArrivalRebalance,42.47,20.58,40.34,0.5,0.21,0.995,2.0,0.0,0.0,0.489,15.056,7.782,3.0,0.3,0.0,0.0,0.0,4.0,-0.17,52.46,3.82,6.0,phi=50
2,0.005,inventory,50.0,DeployNarrow,23.35,19.68,19.64,0.98,1.19,0.932,2.0,0.0,0.0,0.995,18.672,28.608,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,25.46,2.01,0.0,phi=50
2,0.005,inventory,50.0,CDM,28.21,8.05,28.46,-0.16,-0.28,1.0,29.903,1.624,0.053,0.15,11.561,5.87,3.02,0.3,-3.949,6.306,1.264,4.02,-0.12,37.28,2.92,6.04,phi=50
2,0.005,inventory,50.0,PPO,57.21,19.29,56.07,0.39,0.28,1.0,4.165,1.847,0.997,-1.711,14.085,5.361,5.33,53.34,-0.944,1.377,0.59,6.33,-0.03,73.51,5.6,10.67,phi=50
2,0.005,inventory,50.0,PPO_narrow,68.78,21.69,66.95,0.24,-0.12,1.0,2.0,0.0,0.0,-0.479,13.981,5.014,7.07,70.71,-0.226,1.021,0.399,8.07,-0.14,89.54,6.48,14.14,phi=50
2,0.02,inventory,50.0,DeployWide,4.09,16.27,6.27,-0.74,0.98,0.689,30.0,0.0,0.0,4.404,69.875,108.286,0.0,0.0,0.0,0.0,0.0,1.0,-0.44,12.22,7.69,0.0,phi=50
2,0.02,inventory,50.0,ArrivalRebalance,7.95,20.47,8.05,-0.28,0.74,0.672,2.0,0.0,0.0,0.678,39.307,16.048,5.81,0.58,0.0,0.0,0.0,6.81,-0.31,40.7,20.82,11.61,phi=50
2,0.02,inventory,50.0,DeployNarrow,6.48,17.95,7.58,-0.3,0.96,0.73,2.0,0.0,0.0,4.404,69.875,108.286,0.0,0.0,0.0,0.0,0.0,1.0,-0.41,14.95,8.07,0.0,phi=50
2,0.02,inventory,50.0,CDM,-39.33,50.64,-26.16,-1.98,6.1,0.176,29.533,3.252,0.492,0.11,14.773,4.419,28.55,2.86,-2.876,5.288,1.86,29.55,-0.48,53.77,35.52,57.1,phi=50
2,0.02,inventory,50.0,PPO,1.69,4.54,0.43,-0.07,3.88,0.534,23.418,0.492,4.637,-13.862,6.766,47.957,0.06,0.64,-0.376,0.119,1.771,0.72,-0.01,3.49,1.66,0.13,phi=50
2,0.02,inventory,50.0,PPO_narrow,3.42,6.74,1.3,1.21,4.1,0.563,2.0,0.0,0.0,-13.748,10.877,46.815,0.19,1.87,0.605,0.363,1.114,0.87,-0.07,6.4,2.53,0.37,phi=50
2,0.02,inventory,80.0,DeployWide,4.09,16.27,6.27,-0.74,0.98,0.689,30.0,0.0,0.0,4.404,69.875,108.286,0.0,0.0,0.0,0.0,0.0,1.0,-0.44,12.22,7.69,0.0,phi=80
2,0.02,inventory,80.0,ArrivalRebalance,7.95,20.47,8.05,-0.28,0.74,0.672,2.0,0.0,0.0,0.678,39.307,16.048,5.81,0.58,0.0,0.0,0.0,6.81,-0.31,40.7,20.82,11.61,phi=80
2,0.02,inventory,80.0,DeployNarrow,6.48,17.95,7.58,-0.3,0.96,0.73,2.0,0.0,0.0,4.404,69.875,108.286,0.0,0.0,0.0,0.0,0.0,1.0,-0.41,14.95,8.07,0.0,phi=80
