gas_cost,volatility,rebalance_every,lower_offset,upper_offset,eval_seed,n_eval,run_id,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
4.0,0.02,150,-1,1,1005,1000,36073407_14,-3.751240623989588,20.55128633631821,-3.649789108367372,-37.77397231087919,29.96862528166854,-50.85640829392216,-70.99221340640256,-0.26996616934536993,0.7421177512533754,0.426,1.0614417251548288e-08,7.926084211788751e-08,-3.751240623989588,2.0,0.0,0.0,0.6782760000000001,39.306576008267555,16.047503532195407,0.0,0.0,0.0,6.806,5.806,0.5806,1000,40.48800312941947,20.708766418788453,23.224,-0.3064773346206028
4.0,0.02,200,-1,1,1005,1000,36073407_14,0.6514533623377271,19.68187616662939,1.1319353740991573,-31.29347863779223,31.686260498179646,-43.20698083518451,-62.17978530182372,-0.13850410367517982,0.855271288171001,0.53,0.29573858985072893,0.1469534061840638,0.6514533623377271,2.0,0.0,0.0,1.0401589999999998,45.46649311481465,21.137859162879266,0.0,0.0,0.0,5.0,4.0,0.4,1000,34.78020312283149,17.66529566783231,16.0,-0.46345409266145343
4.0,0.02,250,-1,1,1005,1000,36073407_14,2.5501716810132824,19.644263998232084,3.142511987851833,-30.106765892991472,34.06976189773471,-40.909119959488656,-57.636179698957235,-0.10994629536639051,0.675650327139429,0.567,4.407899564658643e-05,8.526929321311122e-06,2.5501716810132824,2.0,0.0,0.0,1.7319379999999998,50.803900157298514,26.366935371638398,0.0,0.0,0.0,4.0,3.0,0.3,1000,30.61061159689682,15.163779946460906,12.0,-0.896659969422633
4.0,0.02,300,-1,1,1005,1000,36073407_14,2.332461810457551,19.61444067668952,3.2048802457823626,-28.76832121909204,32.695885223905854,-41.11962802686542,-59.757664052424026,-0.17531762747691135,0.7149567132221919,0.562,0.00018079926001812117,2.126358447848674e-05,2.332461810457551,2.0,0.0,0.0,2.020376,56.041942134923794,33.20431006066267,0.0,0.0,0.0,3.806,2.806,0.2806,1000,28.577692000830293,14.607007563433902,11.224,-0.41422262693883993
4.0,0.02,350,-1,1,1005,1000,36073407_14,4.22690543149129,18.447296916141287,4.856478383235071,-26.59229150350463,33.97880803231661,-39.01241212537808,-57.06201898703823,-0.35645885922984005,0.8482983982412655,0.621,8.804808720928977e-13,1.8678635883396605e-15,4.22690543149129,2.0,0.0,0.0,0.6331250000000003,58.44185872684135,36.31580271525572,0.0,0.0,0.0,3.0,2.0,0.2,1000,26.349799305295303,13.72939106956766,8.0,-0.39350280423635425
4.0,0.02,400,-1,1,1005,1000,36073407_14,3.451228142950368,18.695198867768585,4.178836624950236,-27.317167754202444,32.94507153904377,-40.19678960095009,-57.72226973741074,-0.30598423638377664,0.9052978114277632,0.602,7.270800197954805e-09,4.683593066062946e-11,3.451228142950368,2.0,0.0,0.0,0.813637,60.36273709667899,42.19684451085449,0.0,0.0,0.0,3.0,2.0,0.2,1000,25.410991748353542,13.49487216158849,8.0,-0.4648914438146816
6.0,0.03,50,-1,1,1005,1000,36074271_10,-111.70528569553738,35.535063378991815,-106.37495376529273,-171.63907815496074,-61.97995831096232,-205.44161282646152,-257.57826793153697,-0.9631285735738959,2.4214364181018064,0.0,0.0,3.3258591189345135e-165,-111.70528569553738,2.0,0.0,0.0,0.41845699999999997,20.28282150781546,7.193615119267294,0.0,0.0,0.0,19.833,18.833,1.8832999999999998,1000,64.00799626472607,62.12692805274588,112.998,-0.5883539075175861
6.0,0.03,100,-1,1,1005,1000,36074271_10,-52.077333528351986,28.440548199507337,-49.26037923707145,-98.6435561727633,-12.22633440635113,-125.1096612968262,-166.54651665303868,-0.8635528143081723,2.2742974724463583,0.017,0.0,3.169675064891146e-164,-52.077333528351986,2.0,0.0,0.0,0.7857919999999999,34.6242724845591,14.280432307417588,0.0,0.0,0.0,10.009,9.009,0.9009000000000001,1000,42.93713649317638,39.89386659593286,54.054,-1.066603425595509
6.0,0.03,150,-1,1,1005,1000,36074271_10,-34.61156999593225,25.815785758478388,-31.004207320292778,-78.27928754309917,2.4083356132478166,-100.06872103184207,-132.35105539316427,-0.8179055485058999,1.665670949254686,0.064,2.1638699219209713e-225,9.765899407858873e-156,-34.61156999593225,2.0,0.0,0.0,1.0552480000000002,46.16844849656831,21.107091236418533,0.0,0.0,0.0,7.0,6.0,0.6,1000,34.59841023183403,32.17274763585522,36.0,-1.0372325919110599
6.0,0.03,200,-1,1,1005,1000,36074271_10,-23.010087938280375,25.081986091503172,-19.588460566948527,-65.54065788997787,13.25304627472012,-85.8068162103143,-119.78820413641787,-0.7952181586563595,1.7967299627829432,0.153,1.2732909675866528e-134,1.0683842470648266e-117,-23.010087938280375,2.0,0.0,0.0,1.305319,56.22204033634852,28.73809566838483,0.0,0.0,0.0,5.009,4.009,0.40090000000000003,1000,28.579189960256183,26.18855859983676,24.054,-1.3467192986997967
6.0,0.03,250,-1,1,1005,1000,36074271_10,-16.652812086777374,24.226737235476506,-13.20224745104457,-59.90229903766958,17.46024881364041,-77.83969461629907,-108.59554462994765,-0.8711250019440012,1.7475013150313572,0.242,5.093183348240141e-86,1.589264320319312e-79,-16.652812086777374,2.0,0.0,0.0,2.043862,64.00482552455372,35.58137628862824,0.0,0.0,0.0,4.009,3.009,0.3009,1000,25.646359587663515,23.52994477621168,18.054,-0.7152268982292093
6.0,0.03,300,-1,1,1005,1000,36074271_10,-17.156622773167765,23.89171943661399,-14.495160173803242,-56.99897748490672,16.59912673765524,-77.75036030601923,-104.61993857404445,-0.8133146408410998,1.33256694398787,0.249,2.653542737570876e-92,5.923094002386163e-84,-17.156622773167765,2.0,0.0,0.0,2.8067640000000003,69.52575504423427,42.71279600995823,0.0,0.0,0.0,4.0,3.0,0.3,1000,24.786255738731324,22.619610289443532,18.0,-1.3232682224555508
6.0,0.03,350,-1,1,1005,1000,36074271_10,-11.323217464422026,23.26767999600565,-7.625055900075154,-53.351228657674405,21.253370712895816,-71.21632653498008,-96.93154746226584,-0.8106257715189299,1.4527399146577578,0.326,4.4732954512815114e-48,1.545635360292965e-42,-11.323217464422026,2.0,0.0,0.0,2.2294419999999997,74.83449392388144,48.68798458932795,0.0,0.0,0.0,3.0,2.0,0.2,1000,21.908128796242607,20.674315616494123,12.0,-0.5570306441705056
6.0,0.03,400,-1,1,1005,1000,36074271_10,-11.365834962440921,23.176714140661865,-8.911826729901748,-50.89067971101272,20.93600223591654,-70.4438487766355,-98.47580971000477,-0.8098513955873147,1.5915478343471827,0.317,1.015044680657443e-48,1.3948310790823377e-43,-11.365834962440921,2.0,0.0,0.0,1.0893489999999997,77.4906105631184,54.58576449087435,0.0,0.0,0.0,3.0,2.0,0.2,1000,21.61168436983129,20.059503802108164,12.0,-0.9180155301640531
