gas_cost,volatility,rebalance_every,lower_offset,upper_offset,eval_seed,n_eval,run_id,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
2.0,0.01,10,-1,1,1005,1000,36073252_0,39.470150258959386,26.740853649046475,38.82100059708114,-4.322752232824825,82.94068206435597,-14.079451282076985,-28.049540314512875,0.0697683022058604,-0.1433369308020973,0.938,4.1095530117638503e-253,1.4270871947926796e-154,39.470150258959386,2.0,0.0,0.0,0.0330369999999999,4.392327999492973,0.6385954647748447,0.0,0.0,0.0,75.386,74.386,7.438599999999999,1000,228.80342686848064,40.38591646177649,148.772,-0.1753601477447694
2.0,0.01,20,-1,1,1005,1000,36073252_0,49.71378812924335,23.961085296294648,49.08084276265265,12.184664777431896,89.19176962123603,3.194239299399326,-11.09865868306871,0.1653039408747891,-0.0868545778798632,0.989,0.0,1.2524140632222715e-164,49.71378812924335,2.0,0.0,0.0,0.0703839999999999,7.473775276638649,1.2667431091361816,0.0,0.0,0.0,37.97,36.97,3.697,1000,150.15756299913815,26.313318955676024,73.94,-0.190455914218777
2.0,0.01,30,-1,1,1005,1000,36073252_0,48.6739630201891,22.36531818202086,47.026625311200974,14.601640028279132,87.4239931488322,6.862347481030772,-3.662007253882905,0.3438988092035637,0.2330231703973275,0.991,0.0,5.217228534977487e-165,48.6739630201891,2.0,0.0,0.0,0.0847379999999999,9.992525015344537,1.9382155126187592,0.0,0.0,0.0,25.499,24.499,2.4499,1000,118.78195215699868,21.088818372483473,48.998,-0.021170764326095
2.0,0.01,40,-1,1,1005,1000,36073252_0,45.25960584808597,21.975389687915225,43.83590901294667,11.956775742708505,82.13049787436951,4.302628731266502,-7.081763199978934,0.3605427872933883,0.2220624596488165,0.988,0.0,7.344614878266737e-165,45.25960584808597,2.0,0.0,0.0,0.152864,12.163846060232292,2.623770883957667,0.0,0.0,0.0,19.225,18.225,1.8225,1000,99.849514513779,17.989030162410238,36.45,-0.1508785032827714
2.0,0.01,50,-1,1,1005,1000,36073252_0,44.56265326361525,21.188267019544924,43.78235786054313,11.262108300552114,80.55488005334593,4.738083912907111,-6.554991720082353,0.2408138930793938,0.0127141957203513,0.991,0.0,7.366676805675603e-165,44.56265326361525,2.0,0.0,0.0,0.184114,14.026775365579786,3.3650294719369103,0.0,0.0,0.0,15.503,14.503,1.4503,1000,89.65024569313633,16.010490107578306,29.006,-0.0711023219427685
2.0,0.01,100,-1,1,1005,1000,36073252_0,35.605910627093344,19.634341568455778,35.40556035523775,5.282721057459582,68.42815982380861,-1.4490724030059825,-10.060882634283985,0.2356054587639969,-0.0040005681438386,0.975,0.0,1.5932606846763877e-163,35.605910627093344,2.0,0.0,0.0,0.402317,20.954039692499514,6.989730081520388,0.0,0.0,0.0,7.997,6.997,0.6997000000000001,1000,60.94052687091188,11.154814039114475,13.994,-0.1858022047040734
2.0,0.01,150,-1,1,1005,1000,36073252_0,30.609372960446052,19.342621726104387,29.37027858997544,1.2689570261408507,66.0968112349984,-4.679519311254573,-13.464000839451945,0.500384365938578,0.4679963186620779,0.956,2.8145562623109036e-274,3.3007513620210014e-161,30.609372960446052,2.0,0.0,0.0,0.219889,25.84853499101164,10.696880282992748,0.0,0.0,0.0,5.51,4.51,0.451,1000,48.96146689415994,8.918276222902811,9.02,-0.4138177108110725
2.0,0.01,200,-1,1,1005,1000,36073252_0,27.54341521499758,18.131135319841313,26.21863310446213,0.4332977587225231,57.95160102602131,-5.244246325538127,-13.361281719763634,0.4420686194308421,0.5193298363134162,0.951,9.431238056712524e-262,1.1697282329141205e-159,27.54341521499758,2.0,0.0,0.0,0.998014,28.750123541508863,14.052084831362356,0.0,0.0,0.0,4.019,3.019,0.3019,1000,41.627718058514745,7.911255370272215,6.038,-0.1350474732449494
2.0,0.01,250,-1,1,1005,1000,36073252_0,25.93648377625085,18.53214340037412,24.630691861015293,-2.4305355357375156,57.50134809482536,-9.65639787325071,-20.014917635072788,0.3154849923218039,0.2861483125224944,0.93,1.4979464214065804e-237,1.9147470164330492e-153,25.93648377625085,2.0,0.0,0.0,0.8932110000000002,31.425661397511075,18.156708261259222,0.0,0.0,0.0,3.51,2.51,0.2509999999999999,1000,38.22548696558633,7.279040806647963,5.02,0.0100376173124874
2.0,0.01,300,-1,1,1005,1000,36073252_0,24.041320739126675,17.445412127489124,22.515690790666326,-1.640228768941136,53.71861692992692,-9.553061619414402,-19.983402400324895,0.4352140825218361,0.6999493981448803,0.936,3.9006314040564908e-233,3.6275181918178594e-153,24.041320739126675,2.0,0.0,0.0,-0.0799040000000001,32.61089936841225,20.45081687480439,0.0,0.0,0.0,3.0,2.0,0.2,1000,35.069535725269176,6.684998976290323,4.0,-0.3432160098521768
