gas_cost,volatility,rebalance_every,lower_offset,upper_offset,eval_seed,n_eval,run_id,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
2.0,0.01,10,-1,1,1005,1000,36073252_0,39.470150258959386,26.740853649046475,38.82100059708114,-4.322752232824825,82.94068206435597,-14.079451282076985,-28.049540314512875,0.06976830220586044,-0.1433369308020973,0.938,4.10955301176385e-253,1.4270871947926795e-154,39.470150258959386,2.0,0.0,0.0,0.03303699999999999,4.392327999492973,0.6385954647748447,0.0,0.0,0.0,75.386,74.386,7.438599999999999,1000,228.80342686848064,40.38591646177649,148.772,-0.17536014774476943
2.0,0.01,20,-1,1,1005,1000,36073252_0,49.71378812924335,23.961085296294648,49.08084276265265,12.184664777431896,89.19176962123603,3.194239299399326,-11.09865868306871,0.16530394087478917,-0.08685457787986328,0.989,0.0,1.2524140632222717e-164,49.71378812924335,2.0,0.0,0.0,0.07038399999999999,7.473775276638649,1.2667431091361816,0.0,0.0,0.0,37.97,36.97,3.697,1000,150.15756299913815,26.313318955676024,73.94,-0.19045591421877703
2.0,0.01,30,-1,1,1005,1000,36073252_0,48.6739630201891,22.36531818202086,47.026625311200974,14.601640028279133,87.4239931488322,6.862347481030772,-3.662007253882905,0.3438988092035637,0.23302317039732756,0.991,0.0,5.217228534977487e-165,48.6739630201891,2.0,0.0,0.0,0.08473799999999998,9.992525015344537,1.9382155126187592,0.0,0.0,0.0,25.499,24.499,2.4499,1000,118.78195215699868,21.088818372483473,48.998,-0.021170764326095038
2.0,0.01,40,-1,1,1005,1000,36073252_0,45.25960584808597,21.975389687915225,43.83590901294667,11.956775742708505,82.13049787436951,4.302628731266502,-7.081763199978934,0.36054278729338834,0.22206245964881655,0.988,0.0,7.344614878266737e-165,45.25960584808597,2.0,0.0,0.0,0.15286400000000003,12.163846060232292,2.6237708839576674,0.0,0.0,0.0,19.225,18.225,1.8225000000000002,1000,99.849514513779,17.989030162410238,36.45,-0.15087850328277141
2.0,0.01,500,-1,1,1005,1000,36073252_0,21.026633303618592,17.66534937165914,19.780581361578356,-5.2382282999031755,52.30726092640834,-11.793660673206974,-21.297188641104945,0.36374824086160784,0.14965838276108867,0.899,1.238618187798191e-193,2.5438042920966314e-142,21.026633303618592,2.0,0.0,0.0,1.287196,35.92858709194533,32.18970978948993,0.0,0.0,0.0,2.0,1.0,0.1,1000,28.741383000529698,5.597562086003077,2.0,-0.1171876109080266
2.0,0.01,600,-1,1,1005,1000,36073252_0,19.60795015064386,16.9721306618218,18.356095048474458,-5.289556315062111,48.63386328982533,-11.988987023388425,-20.711056421842045,0.38008287907359156,0.13853628713871746,0.887,3.8854126741095095e-186,1.4179650517924303e-139,19.60795015064386,2.0,0.0,0.0,1.062784,36.339597408917214,40.28044576756002,0.0,0.0,0.0,2.0,1.0,0.1,1000,27.117956735772072,5.276210374695462,2.0,-0.2337962104327529
2.0,0.01,800,-1,1,1005,1000,36073252_0,15.86232113114899,16.97750587094044,13.604260571382099,-8.712122030260673,47.43406716628639,-14.585536996858016,-24.283670796439843,0.5873276126310965,0.6251302709407076,0.853,2.762794592526801e-138,1.8637421561619544e-118,15.86232113114899,2.0,0.0,0.0,2.1041260000000004,36.83092677510105,56.56103624952539,0.0,0.0,0.0,1.019,0.019,0.0019,1000,20.157421497214703,4.055630077235464,0.038,-0.20147028883024473
4.0,0.02,10,-1,1,1005,1000,36073407_14,-275.1844217271829,46.539297913706136,-270.6358266150477,-358.74537774127816,-208.25314296769614,-392.08076086157024,-449.6344933104501,-0.7461382562807798,1.4622932625179894,0.0,0.0,3.3258591189345135e-165,-275.1844217271829,2.0,0.0,0.0,0.057842,4.99664076425004,1.0955387902927034,0.0,0.0,0.0,92.013,91.013,9.101300000000002,1000,193.35924644907558,104.50655584724319,364.052,0.01488767098474166
4.0,0.02,20,-1,1,1005,1000,36073407_14,-117.60538928804326,34.03238510715696,-116.53091897313283,-176.49565298388822,-66.11253407311946,-199.58663788910692,-236.18648754627634,-0.5351395902230515,1.0110364160419545,0.0,0.0,3.3258591189345135e-165,-117.60538928804326,2.0,0.0,0.0,0.115983,8.906012035491992,2.1192027568666005,0.0,0.0,0.0,46.28,45.28,4.528,1000,129.660825804259,66.20578716099871,181.12,0.05957206869643815
4.0,0.02,30,-1,1,1005,1000,36073407_14,-69.30577917215673,28.881557151195214,-67.19259125396894,-117.78696394131538,-24.862288418446777,-136.8784688951837,-167.24677558815608,-0.4187117254342061,0.6947133061239477,0.004,0.0,3.6502634533457544e-165,-69.30577917215673,2.0,0.0,0.0,0.15089599999999997,12.386801960698255,3.133334808344617,0.0,0.0,0.0,31.026,30.026,3.0025999999999997,1000,101.8476784517823,50.87517717709871,120.104,-0.17428044684030422
