run_id,run_dir,gas_cost,train_seed,volatility,reward_kind,inventory_phi,tau,decision_stride,eval_seed,n_eval,agent,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl,baseline_source_run
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,PPO,41.943833881852264,17.673052466640982,41.93800670169935,14.3632928915219,71.25447258274627,5.978117931638176,-5.797958507649594,0.018311084804012934,0.03644494341389137,0.989,0.0,6.043515231770347e-165,41.943833881852264,5.172,2.482195662605522,1.1590582383987442,0.5457000000000001,26.567821286395628,9.74438974538683,-0.10866547619047617,3.3000331524379836,1.5285947423972366,7.272,6.272,62.720000000000006,10,67.18219563694697,12.501299475380234,12.544,-0.19306227971446974,
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,PPO_narrow,49.39308311171882,20.65546061660114,48.556312575256584,14.858831879072358,84.03603766998428,8.85894258182753,-3.0129920940070294,0.12623888242724804,-0.07962294125178282,0.994,0.0,4.641001901494176e-165,49.39308311171882,2.0,0.0,0.0,0.733,26.649209491031435,9.820970980509005,-0.01962261904761905,2.3413459321099244,1.013118813368453,8.543,7.543,75.43,10,78.61141262836331,13.660554274505227,15.086,-0.47177524213926697,
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,DeployNarrow,15.853083515013815,16.956191085381878,13.602949112645433,-8.712122030260673,46.928570278263656,-14.51668028381976,-24.147723319955094,0.5902063636490774,0.6281835443937513,0.853,2.0179327643643057e-138,1.312957613589948e-118,15.853083515013815,2.0,0.0,0.0,2.1089620000000004,36.82742706653936,56.63103662111931,0.0,0.0,0.0,1.0,0.0,0.0,1000,20.097888987877507,4.040975917870004,0.0,-0.2038295549936895,
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,DeployWide,12.778933753980283,13.919367309882404,11.961434284768302,-9.371417503759556,37.770858544332846,-15.105149504433719,-23.347849320742046,0.1579411047030017,0.039718924975780556,0.838,9.102629756367264e-135,4.893484319113367e-110,12.778933753980283,30.0,0.0,0.0,2.1089620000000004,36.82742706653936,56.63103662111931,0.0,0.0,0.0,1.0,0.0,0.0,1000,16.685245762715283,3.6849859328057866,0.0,-0.22132607592921472,
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,ArrivalRebalance,30.609372960446052,19.342621726104387,29.37027858997544,1.2689570261408507,66.0968112349984,-4.679519311254573,-13.464000839451945,0.500384365938578,0.4679963186620779,0.956,2.8145562623109036e-274,3.3007513620210018e-161,30.609372960446052,2.0,0.0,0.0,0.21988900000000006,25.84853499101164,10.696880282992748,0.0,0.0,0.0,5.51,4.51,0.451,1000,48.96146689415994,8.918276222902811,9.02,-0.4138177108110725,
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,CDM,24.5565655138763,11.799920771427688,25.234650818770774,4.106808310302426,42.86796881336147,-2.427336274027143,-12.350241369351636,-0.3892137752724571,0.30982541411917364,0.973,0.0,1.3482951593962087e-162,24.5565655138763,29.914421,1.530331100545373,0.046296563144578966,0.10117349999999999,13.44940963671174,4.306702486490998,-1.9906157346738227,4.910211059961963,0.644396240959442,8.577,7.577,0.7577,1000,50.60152991375624,10.665572111111327,15.154,-0.22539228876861264,
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,PPO,32.10062919464462,14.515905543213767,31.618371992810467,9.027435012670201,56.725773218737984,4.5498734855768,-1.0735826880693367,0.26203563709216726,0.04486634299900771,0.995,0.0,4.1907678880314294e-165,14.32178834945734,10.6015,4.630708290694991,3.313183929394805,-5.20905,27.325967483096072,10.336535473624613,-2.668295833333333,4.2598517685010755,2.2026333045086566,6.08,5.08,50.8,10,52.81957845875595,10.501373916929612,10.16,-0.057575347181706774,
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,PPO_narrow,46.762859115470576,19.791377066562283,44.93392323454634,15.89316149977588,81.87687078816367,9.46102317081221,0.04512417900525634,0.20886310142120437,-0.16247633716715448,0.996,0.0,4.0425041743249477e-165,24.2482359737816,2.0,0.0,0.0,-2.5334000000000008,27.02532407223006,10.206064101307614,-0.4763253968253969,2.1538104107963765,1.0111912308779107,7.563,6.563,65.63,10,73.12794758210353,12.853008149338415,13.126,-0.38608031729453535,
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,DeployNarrow,15.853083515013815,16.956191085381878,13.602949112645433,-8.712122030260673,46.928570278263656,-14.51668028381976,-24.147723319955094,0.5902063636490774,0.6281835443937513,0.853,2.0179327643643057e-138,1.312957613589948e-118,15.853083515013815,2.0,0.0,0.0,2.1089620000000004,36.82742706653936,56.63103662111931,0.0,0.0,0.0,1.0,0.0,0.0,1000,20.097888987877507,4.040975917870004,0.0,-0.2038295549936895,36073252_24
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,DeployWide,12.778933753980283,13.919367309882404,11.961434284768302,-9.371417503759556,37.770858544332846,-15.105149504433719,-23.347849320742046,0.1579411047030017,0.039718924975780556,0.838,9.102629756367264e-135,4.893484319113367e-110,12.778933753980283,30.0,0.0,0.0,2.1089620000000004,36.82742706653936,56.63103662111931,0.0,0.0,0.0,1.0,0.0,0.0,1000,16.685245762715283,3.6849859328057866,0.0,-0.22132607592921472,36073252_24
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,ArrivalRebalance,30.609372960446052,19.342621726104387,29.37027858997544,1.2689570261408507,66.0968112349984,-4.679519311254573,-13.464000839451945,0.500384365938578,0.4679963186620779,0.956,2.8145562623109036e-274,3.3007513620210018e-161,30.609372960446052,2.0,0.0,0.0,0.21988900000000006,25.84853499101164,10.696880282992748,0.0,0.0,0.0,5.51,4.51,0.451,1000,48.96146689415994,8.918276222902811,9.02,-0.4138177108110725,36073252_24
