volatility,gas_cost,rebalance_tolerance,max_gas_events,decision_stride,original_gas_cost,gamma,eval_seed,n_eval,run_id,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
0.01,2.0,0,,100,2.0,5e-06,1005,1000,36073252_0,17.150701614591956,10.770694515322479,17.383912474991746,-0.5767632420229573,33.619099361011244,-6.575456779080858,-15.59278590856096,-0.10793830292215655,0.7065090383673378,0.941,3.2984243780587478e-276,4.186945118959229e-155,17.150701614591956,27.056500000000007,8.742289469515365,0.37560318156267003,-0.9961500000000001,27.23224072879207,10.015679841004303,-1.4738041666666661,4.380349641984887,0.06380842878876383,9.855,8.855,88.55,10,44.060297857310104,8.84556486010915,17.71,-0.3540313826089993
0.02,4.0,0,,100,4.0,5e-06,1005,1000,36073407_14,-20.971282730131403,16.575370122667522,-19.303750481611132,-50.75072314999103,3.609229163289572,-61.58917602040514,-77.8830608793239,-0.597509686386583,0.8518248239217758,0.081,1.4635516589317958e-209,6.552573762299009e-150,-20.971282730131403,27.068100000000005,8.731899999999992,0.3024770900415437,-0.43375,45.24009886045483,19.5683799390113,-1.461640277777777,4.364929149986571,0.04257799304685638,9.928,8.928,89.28,10,36.73375170798368,21.51895983940534,35.712,-0.4740745987097364
0.03,6.0,0,,100,6.0,5e-06,1005,1000,36074271_10,-3.095690368378032,20.453920255162714,0.0,-41.650878806189056,24.114008658722447,-56.931850388719305,-77.99773849329829,-0.9877426242921892,1.6743217997781645,0.466,1.9800527696180626e-06,0.016736771097500203,-3.095690368378032,1.0,0.0,0.0,-7.423799999999998,97.20257029467433,163.30558237108735,-14.5,0.0,0.0,1.0,0.0,0.0,10,8.793042794446723,11.509070060211666,0.0,-0.37966310261308683
