run_id,run_dir,gas_cost,train_seed,volatility,reward_kind,inventory_phi,tau,decision_stride,eval_seed,n_eval,agent,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl,baseline_source_run
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,DeployNarrow,15.853083515013815,16.956191085381878,13.602949112645433,-8.712122030260673,46.928570278263656,-14.51668028381976,-24.147723319955094,0.5902063636490774,0.6281835443937513,0.853,2.0179327643643057e-138,1.312957613589948e-118,15.853083515013815,2.0,0.0,0.0,2.1089620000000004,36.82742706653936,56.63103662111931,0.0,0.0,0.0,1.0,0.0,0.0,1000,20.097888987877507,4.040975917870004,0.0,-0.2038295549936895,
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,DeployWide,12.778933753980283,13.919367309882404,11.961434284768302,-9.371417503759556,37.770858544332846,-15.105149504433719,-23.347849320742046,0.1579411047030017,0.039718924975780556,0.838,9.102629756367264e-135,4.893484319113367e-110,12.778933753980283,30.0,0.0,0.0,2.1089620000000004,36.82742706653936,56.63103662111931,0.0,0.0,0.0,1.0,0.0,0.0,1000,16.685245762715283,3.6849859328057866,0.0,-0.22132607592921472,
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,ArrivalRebalance,30.609372960446052,19.342621726104387,29.37027858997544,1.2689570261408507,66.0968112349984,-4.679519311254573,-13.464000839451945,0.500384365938578,0.4679963186620779,0.956,2.8145562623109036e-274,3.3007513620210018e-161,30.609372960446052,2.0,0.0,0.0,0.21988900000000006,25.84853499101164,10.696880282992748,0.0,0.0,0.0,5.51,4.51,0.451,1000,48.96146689415994,8.918276222902811,9.02,-0.4138177108110725,
36073252_24,GAS_COST=2/SEED=10/36073252_24,2.0,10,0.01,inventory,0,15,100,1005,1000,CDM,24.5565655138763,11.799920771427688,25.234650818770774,4.106808310302426,42.86796881336147,-2.427336274027143,-12.350241369351636,-0.3892137752724571,0.30982541411917364,0.973,0.0,1.3482951593962087e-162,24.5565655138763,29.914421,1.530331100545373,0.046296563144578966,0.10117349999999999,13.44940963671174,4.306702486490998,-1.9906157346738227,4.910211059961963,0.644396240959442,8.577,7.577,0.7577,1000,50.60152991375624,10.665572111111327,15.154,-0.22539228876861264,
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,DeployNarrow,15.853083515013815,16.956191085381878,13.602949112645433,-8.712122030260673,46.928570278263656,-14.51668028381976,-24.147723319955094,0.5902063636490774,0.6281835443937513,0.853,2.0179327643643057e-138,1.312957613589948e-118,15.853083515013815,2.0,0.0,0.0,2.1089620000000004,36.82742706653936,56.63103662111931,0.0,0.0,0.0,1.0,0.0,0.0,1000,20.097888987877507,4.040975917870004,0.0,-0.2038295549936895,36073252_24
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,DeployWide,12.778933753980283,13.919367309882404,11.961434284768302,-9.371417503759556,37.770858544332846,-15.105149504433719,-23.347849320742046,0.1579411047030017,0.039718924975780556,0.838,9.102629756367264e-135,4.893484319113367e-110,12.778933753980283,30.0,0.0,0.0,2.1089620000000004,36.82742706653936,56.63103662111931,0.0,0.0,0.0,1.0,0.0,0.0,1000,16.685245762715283,3.6849859328057866,0.0,-0.22132607592921472,36073252_24
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,ArrivalRebalance,30.609372960446052,19.342621726104387,29.37027858997544,1.2689570261408507,66.0968112349984,-4.679519311254573,-13.464000839451945,0.500384365938578,0.4679963186620779,0.956,2.8145562623109036e-274,3.3007513620210018e-161,30.609372960446052,2.0,0.0,0.0,0.21988900000000006,25.84853499101164,10.696880282992748,0.0,0.0,0.0,5.51,4.51,0.451,1000,48.96146689415994,8.918276222902811,9.02,-0.4138177108110725,36073252_24
36073252_25,GAS_COST=2/SEED=10/36073252_25,2.0,10,0.01,inventory,50,15,100,1005,1000,CDM,24.5565655138763,11.799920771427688,25.234650818770774,4.106808310302426,42.86796881336147,-2.427336274027143,-12.350241369351636,-0.3892137752724571,0.30982541411917364,0.973,0.0,1.3482951593962087e-162,24.5565655138763,29.914421,1.530331100545373,0.046296563144578966,0.10117349999999999,13.44940963671174,4.306702486490998,-1.9906157346738227,4.910211059961963,0.644396240959442,8.577,7.577,0.7577,1000,50.60152991375624,10.665572111111327,15.154,-0.22539228876861264,36073252_24
36073252_26,GAS_COST=2/SEED=10/36073252_26,2.0,10,0.02,inventory,0,15,100,1005,1000,DeployNarrow,6.477607686199505,17.950551852566374,7.581377161501109,-23.96664213352248,34.81409255433276,-35.36628440504408,-50.708465953253054,-0.29864590423878545,0.9643093515796797,0.73,2.0575071009793284e-28,4.557474664873838e-33,6.477607686199505,2.0,0.0,0.0,4.403665000000001,69.87534397238362,108.28602515580104,0.0,0.0,0.0,1.0,0.0,0.0,1000,14.95097553137955,8.066962979097362,0.0,-0.406404866082683,
36073252_26,GAS_COST=2/SEED=10/36073252_26,2.0,10,0.02,inventory,0,15,100,1005,1000,DeployWide,4.09478718770963,16.271817552955877,6.268138593964352,-24.95742360716701,27.8048911655416,-36.48392899469141,-51.603535519010464,-0.7388667337633585,0.9833922200896059,0.689,4.873609609898465e-15,1.7472770175243966e-21,4.09478718770963,30.0,0.0,0.0,4.403665000000001,69.87534397238362,108.28602515580104,0.0,0.0,0.0,1.0,0.0,0.0,1000,12.223730533503973,7.687185265063061,0.0,-0.4417580807312825,
