gas_cost,volatility,inventory_phi,agent,n_seeds,mean,p5_mean,p95_mean,std,p5_std,p95_std,cvar5_mean,cvar5_std,cvar1_mean,cvar1_std,std_pnl_mean,min,max,range,cv_pct
2.0,0.01,0,ArrivalRebalance,10,30.609372960446052,1.2689570261408507,66.0968112349984,0.0,0.0,0.0,-4.679519311254573,0.0,-13.464000839451945,0.0,19.342621726104387,30.609372960446052,30.609372960446052,0.0,0.0
2.0,0.01,0,CDM,10,24.5565655138763,4.106808310302426,42.86796881336147,0.0,0.0,0.0,-2.427336274027143,0.0,-12.350241369351636,0.0,11.799920771427688,24.5565655138763,24.5565655138763,0.0,0.0
2.0,0.01,0,DeployNarrow,10,15.853083515013816,-8.712122030260673,46.928570278263656,0.0,0.0,0.0,-14.516680283819761,0.0,-24.147723319955094,0.0,16.956191085381878,15.853083515013815,15.853083515013815,0.0,0.0
2.0,0.01,0,DeployWide,10,12.778933753980283,-9.371417503759556,37.770858544332846,0.0,0.0,0.0,-15.105149504433717,0.0,-23.347849320742046,0.0,13.919367309882404,12.778933753980283,12.778933753980283,0.0,0.0
2.0,0.01,0,PPO,10,42.30570349056476,13.178399543371444,72.81674038426405,0.9666809606405948,0.9879935840010137,2.088914792464196,6.083971758240187,0.9726189555785787,-4.688235725050793,1.3353760594187747,18.151721282111076,40.44392803361032,44.08527093711946,3.641342903509141,2.2849896843251623
2.0,0.01,0,PPO_narrow,10,49.91317281501439,17.206916553477964,84.70279947694513,0.38266115468810946,1.2256487563527427,0.6452199419818714,9.145853637587306,0.6513159619457652,-2.9727282804276514,1.7216844531210522,20.864368927057082,49.376020874754246,50.344052900272075,0.9680320255178287,0.7666536369192725
2.0,0.01,50,ArrivalRebalance,10,30.609372960446052,1.2689570261408507,66.0968112349984,0.0,0.0,0.0,-4.679519311254573,0.0,-13.464000839451945,0.0,19.342621726104387,30.609372960446052,30.609372960446052,0.0,0.0
2.0,0.01,50,CDM,10,24.5565655138763,4.106808310302426,42.86796881336147,0.0,0.0,0.0,-2.427336274027143,0.0,-12.350241369351636,0.0,11.799920771427688,24.5565655138763,24.5565655138763,0.0,0.0
2.0,0.01,50,DeployNarrow,10,15.853083515013816,-8.712122030260673,46.928570278263656,0.0,0.0,0.0,-14.516680283819761,0.0,-24.147723319955094,0.0,16.956191085381878,15.853083515013815,15.853083515013815,0.0,0.0
2.0,0.01,50,DeployWide,10,12.778933753980283,-9.371417503759556,37.770858544332846,0.0,0.0,0.0,-15.105149504433717,0.0,-23.347849320742046,0.0,13.919367309882404,12.778933753980283,12.778933753980283,0.0,0.0
2.0,0.01,50,PPO,10,30.361506274901863,7.9610405765423975,55.10005799898339,1.595279477222376,1.2133706293940603,2.303410936772974,3.068979502604703,1.5646647549759183,-3.3317596782828027,2.2733187311624015,14.494510588666207,28.139869298560505,32.78232666225576,4.642457363695257,5.254283047679697
2.0,0.01,50,PPO_narrow,10,46.107483155067456,16.095491028426594,79.67851296999166,0.6675122691482483,0.5279171566479968,1.4797404123649343,9.315834207995078,0.7392516160401622,-1.3771080475229336,1.2320975276410941,19.49550390874527,44.8917229243929,46.83785764098819,1.9461347165952887,1.4477308746246005
4.0,0.02,0,ArrivalRebalance,10,-3.751240623989588,-37.77397231087919,29.96862528166854,0.0,0.0,0.0,-50.85640829392216,0.0,-70.99221340640256,0.0,20.55128633631821,-3.751240623989588,-3.751240623989588,0.0,0.0
4.0,0.02,0,CDM,10,-89.78038606178801,-243.67677054510696,-10.645729925003765,0.0,0.0,0.0,-321.9742638154355,0.0,-444.1338605776626,0.0,77.85326733540943,-89.78038606178801,-89.78038606178801,0.0,0.0
4.0,0.02,0,DeployNarrow,10,6.477607686199505,-23.96664213352248,34.81409255433276,0.0,0.0,0.0,-35.36628440504408,0.0,-50.708465953253054,0.0,17.950551852566374,6.477607686199505,6.477607686199505,0.0,0.0
4.0,0.02,0,DeployWide,10,4.09478718770963,-24.95742360716701,27.8048911655416,0.0,0.0,0.0,-36.48392899469141,0.0,-51.603535519010464,0.0,16.271817552955877,4.09478718770963,4.09478718770963,0.0,0.0
4.0,0.02,0,PPO,10,5.330242755519047,-25.499847679437156,32.88014962603982,0.6510925435178028,0.9917633486532178,1.6650022693684097,-36.507271606886256,0.7716889198006256,-51.51002517049017,1.5615022645193744,17.87454407644293,4.153841086132098,6.478211165847009,2.324370079714911,12.215063616823976
4.0,0.02,0,PPO_narrow,10,6.514061274447793,-24.399294084621737,35.60836238243072,0.20123041774173434,0.4875660414489168,1.439452495421192,-35.6905747573088,0.4190092815360268,-50.85601703463385,0.40769475774090075,18.255824348962722,6.0328183141186384,6.819952795656835,0.7871344815381969,3.0891698629100315
4.0,0.02,50,ArrivalRebalance,10,-3.751240623989588,-37.77397231087919,29.96862528166854,0.0,0.0,0.0,-50.85640829392216,0.0,-70.99221340640256,0.0,20.55128633631821,-3.751240623989588,-3.751240623989588,0.0,0.0
4.0,0.02,50,CDM,10,-89.78038606178801,-243.67677054510696,-10.645729925003765,0.0,0.0,0.0,-321.9742638154355,0.0,-444.1338605776626,0.0,77.85326733540943,-89.78038606178801,-89.78038606178801,0.0,0.0
4.0,0.02,50,DeployNarrow,10,6.477607686199505,-23.96664213352248,34.81409255433276,0.0,0.0,0.0,-35.36628440504408,0.0,-50.708465953253054,0.0,17.950551852566374,6.477607686199505,6.477607686199505,0.0,0.0
4.0,0.02,50,DeployWide,10,4.09478718770963,-24.95742360716701,27.8048911655416,0.0,0.0,0.0,-36.48392899469141,0.0,-51.603535519010464,0.0,16.271817552955877,4.09478718770963,4.09478718770963,0.0,0.0
4.0,0.02,50,PPO,10,1.4899968189010768,-4.999344193504775,8.750436514931321,0.1613482458247529,0.5248217695648602,0.47759486380492294,-9.142249174949166,0.4564053091600478,-14.312657005821473,0.6575179938630005,4.207034924022798,1.2203937101043056,1.7630536694652752,0.5426599593609696,10.828764449561222
4.0,0.02,50,PPO_narrow,10,2.2683079111286064,-4.583756809965855,13.136427657989572,0.404977957723502,0.9968487228327925,0.9882831472597192,-8.860975351840295,0.8701638835696213,-14.494753164625639,1.2189019528683742,5.546946134492005,1.3271317767233268,2.9114040033988102,1.5842722266754834,17.853747092122227
6.0,0.03,0,ArrivalRebalance,10,-34.61156999593225,-78.27928754309917,2.4083356132478166,0.0,0.0,0.0,-100.06872103184207,0.0,-132.35105539316427,0.0,25.815785758478388,-34.61156999593225,-34.61156999593225,0.0,0.0
6.0,0.03,0,CDM,10,-3.5332405774848956,-42.564194855707065,21.305338060385107,0.0,0.0,0.0,-57.33032480336446,0.0,-77.99773849329829,0.0,20.22283671871244,-3.5332405774848956,-3.5332405774848956,0.0,0.0
