gas_cost,volatility,inventory_phi,agent,n_seeds,mean,p5_mean,p95_mean,std,p5_std,p95_std,cvar5_mean,cvar5_std,cvar1_mean,cvar1_std,std_pnl_mean,min,max,range,cv_pct
4.0,0.01,50,ArrivalRebalance,10,21.42998811786843,-8.69003564762791,57.018904320609884,0.0,0.0,0.0,-14.34868685121091,0.0,-23.44218206287592,0.0,19.43656975941591,21.42998811786843,21.42998811786843,0.0,0.0
4.0,0.01,50,CDM,10,9.055466786820736,-18.581319683352167,32.656567036011516,0.0,0.0,0.0,-26.801706335469227,0.0,-38.94956926908926,0.0,15.536042191356476,9.055466786820736,9.055466786820736,0.0,0.0
4.0,0.01,50,DeployNarrow,10,15.853083515013816,-8.712122030260673,46.928570278263656,0.0,0.0,0.0,-14.516680283819761,0.0,-24.147723319955094,0.0,16.956191085381878,15.853083515013815,15.853083515013815,0.0,0.0
4.0,0.01,50,DeployWide,10,12.778933753980283,-9.371417503759556,37.770858544332846,0.0,0.0,0.0,-15.105149504433717,0.0,-23.347849320742046,0.0,13.919367309882404,12.778933753980283,12.778933753980283,0.0,0.0
4.0,0.02,0,ArrivalRebalance,10,-3.751240623989588,-37.77397231087919,29.96862528166854,0.0,0.0,0.0,-50.85640829392216,0.0,-70.99221340640256,0.0,20.55128633631821,-3.751240623989588,-3.751240623989588,0.0,0.0
4.0,0.02,0,CDM,10,-89.78038606178801,-243.67677054510696,-10.645729925003765,0.0,0.0,0.0,-321.9742638154355,0.0,-444.1338605776626,0.0,77.85326733540943,-89.78038606178801,-89.78038606178801,0.0,0.0
4.0,0.02,0,DeployNarrow,10,6.477607686199505,-23.96664213352248,34.81409255433276,0.0,0.0,0.0,-35.36628440504408,0.0,-50.708465953253054,0.0,17.950551852566374,6.477607686199505,6.477607686199505,0.0,0.0
4.0,0.02,0,DeployWide,10,4.09478718770963,-24.95742360716701,27.8048911655416,0.0,0.0,0.0,-36.48392899469141,0.0,-51.603535519010464,0.0,16.271817552955877,4.09478718770963,4.09478718770963,0.0,0.0
4.0,0.02,50,ArrivalRebalance,10,-3.751240623989588,-37.77397231087919,29.96862528166854,0.0,0.0,0.0,-50.85640829392216,0.0,-70.99221340640256,0.0,20.55128633631821,-3.751240623989588,-3.751240623989588,0.0,0.0
4.0,0.02,50,CDM,10,-89.78038606178801,-243.67677054510696,-10.645729925003765,0.0,0.0,0.0,-321.9742638154355,0.0,-444.1338605776626,0.0,77.85326733540943,-89.78038606178801,-89.78038606178801,0.0,0.0
4.0,0.02,50,DeployNarrow,10,6.477607686199505,-23.96664213352248,34.81409255433276,0.0,0.0,0.0,-35.36628440504408,0.0,-50.708465953253054,0.0,17.950551852566374,6.477607686199505,6.477607686199505,0.0,0.0
4.0,0.02,50,DeployWide,10,4.09478718770963,-24.95742360716701,27.8048911655416,0.0,0.0,0.0,-36.48392899469141,0.0,-51.603535519010464,0.0,16.271817552955877,4.09478718770963,4.09478718770963,0.0,0.0
